,category,text
2488,not_spam,"I will be outside office take all from there
"
2489,spam,"URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only
"
2490,spam,"New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl
"
2491,not_spam,"No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x
"
2492,not_spam,"I havent lei.. Next mon can?
"
2493,spam,"SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL
"
2494,spam,"Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
"
2495,spam,"Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone
"
2496,spam,"Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast!
"
2497,spam,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468
"
2498,not_spam,"I accidentally brought em home in the box
"
2499,not_spam,"Boooo you always work. Just quit.
"
2500,spam,"URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only
"
2501,not_spam,"Remember to ask alex about his pizza
"
2502,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+
"
2503,not_spam,"Why must we sit around and wait for summer days to celebrate. Such a magical sight when the worlds dressed in white. Oooooh let there be snow.
"
2504,spam,"Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
"
2505,spam,"Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
"
2506,not_spam,"I will reach ur home in  &lt;#&gt;  minutes
"
2507,not_spam,"Oh thanks a lot..i already bought 2 eggs ..
"
2508,spam,"You have an important customer service announcement from PREMIER.
"
2509,not_spam,"So how's the weather over there?
"
2510,not_spam,"Then ü ask dad to pick ü up lar... Ü wan 2 stay until 6 meh...
"
2511,not_spam,"You do got a shitload of diamonds though
"
2512,spam,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy 
"
2513,spam,"3 FREE TAROT TEXTS! Find out about your love life now! TRY 3 FOR FREE! Text CHANCE to 85555 16 only! After 3 Free, Msgs £1.50 each
"
2514,not_spam,"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.
"
2515,not_spam,"Sorry, I'll call later
"
2516,not_spam,"Get me out of this dump heap. My mom decided to come to lowes. BORING.
"
2517,not_spam,"Ever green quote ever told by Jerry in cartoon ""A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt
"
2518,not_spam,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...
"
2519,spam,"SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY
"
2520,not_spam,"He said that he had a right giggle when he saw u again! You would possibly be the first person2die from NVQ, but think how much you could for! 
"
2521,spam,"Urgent! Please call 09061213237 from a landline. £5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+
"
2522,spam,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468
"
2523,not_spam,"Nope, I'm still in the market
"
2524,spam,"EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100 Cash WKENT/150P16+
"
2525,spam,"We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed
"
2526,spam,"RGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50
"
2527,not_spam,"On ma way to school. Can you pls send me ashley's number
"
2528,spam,"Todays Voda numbers ending 1225 are selected to receive a £50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app 
"
2529,spam,"Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone
"
2530,spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE
"
2531,spam,"URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM
"
2532,not_spam,"Yes da. Any plm at ur office
"
2533,not_spam,"Okie
"
2534,not_spam,"hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
"
2535,not_spam,"When're you guys getting back? G said you were thinking about not staying for mcr
"
2536,not_spam,"Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
"
2537,spam,"Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!
"
2538,not_spam,"Aight, let me know when you're gonna be around usf
"
2539,spam,"Thanks for your ringtone order, ref number R836. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069154
"
2540,not_spam,"That's good, because I need drugs
"
2541,not_spam,"I wil be there with in  &lt;#&gt;  minutes. Got any space
"
2542,spam,"Please CALL 08712402779 immediately as there is an urgent message waiting for you
"
2543,spam,"For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p
"
2544,spam,"Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
"
2545,spam,"Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
"
2546,spam,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT
"
2547,spam,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+
"
2548,spam,"Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070
"
2549,spam,"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY £1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION.
"
2550,not_spam,"You will go to walmart. I.ll stay.
"
2551,not_spam,"Okie
"
2552,not_spam,"Ok i found dis pierre cardin one which looks normal costs 20 its on sale.
"
2553,spam,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832
"
2554,spam,"Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just £5 by replying GET BBDELUXE and take the challenge
"
2555,spam,"Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p
"
2556,spam,"88800 and 89034 are premium phone services call 08718711108
"
2557,not_spam,"She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.
"
2558,spam,"Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
"
2559,spam,"Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.
"
2560,not_spam,"That depends. How would you like to be treated? :)
"
2561,spam,"Call from 08702490080 - tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!
"
2562,not_spam,"It's wylie, you in tampa or sarasota?
"
2563,spam,"Download as many ringtones as u like no restrictions, 1000s 2 choose. U can even send 2 yr buddys. Txt Sir to 80082 £3 
"
2564,spam,"URGENT! Your Mobile number has been awarded with a £2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only
"
2565,not_spam,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng
"
2566,spam,"ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
"
2567,spam,"Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q
"
2568,spam,"Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp £1.50/msg
"
2569,not_spam,"Don no da:)whats you plan?
"
2570,not_spam,"Yeah right! I'll bring my tape measure fri!
"
2571,not_spam,"Its not that time of the month nor mid of the time?
"
2572,spam,"Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D
"
2573,not_spam,"Tell me again what your address is
"
2574,not_spam,"Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams
"
2575,spam,"GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
"
2576,not_spam,"Are you up for the challenge? I know i am :)
"
2577,not_spam,"Ugh its been a long day. I'm exhausted. Just want to cuddle up and take a nap
"
2578,spam,"You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99
"
2579,not_spam,"I have a rather prominent bite mark on my right cheek
"
2580,spam,"4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt
"
2581,spam,"URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only
"
2582,spam,"WINNER! As a valued network customer you hvae been selected to receive a £900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM
"
2583,spam,"""URGENT! This is the 2nd attempt to contact U!U have WON £1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. max£7. 50""
"
2584,spam,"U are subscribed to the best Mobile Content Service in the UK for £3 per ten days until you send STOP to 83435. Helpline 08706091795.
"
2585,not_spam,"And how's your husband.
"
2586,spam,"Win the newest “Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!
"
2587,spam,"FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts
"
2588,not_spam,"I cant pick the phone right now. Pls send a message
"
2589,not_spam,"K I'm ready,  &lt;#&gt; ?
"
2590,not_spam,"Am i that much dirty fellow?
"
2591,spam,"As a registered optin subscriber ur draw 4 £100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts
"
2592,not_spam,"K give me a sec, breaking a  &lt;#&gt;  at cstore
"
2593,spam,"You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt
"
2594,not_spam,"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer... 
"
2595,not_spam,"Jus finish blowing my hair. U finish dinner already?
"
2596,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL
"
2597,not_spam,"That's fine, I'll bitch at you about it later then
"
2598,spam,"Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
"
2599,not_spam,"Moji i love you more than words. Have a rich day
"
2600,spam,"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?
"
2601,spam,"You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99
"
2602,spam,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call
"
2603,spam,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.
"
2604,not_spam,"Yes! I am a one woman man! Please tell me your likes and dislikes in bed...
"
2605,spam,"PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04
"
2606,not_spam,"Feel like trying kadeem again? :V
"
2607,spam,"Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.
"
2608,not_spam,"Is xy going 4 e lunch?
"
2609,spam,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)
"
2610,spam,"Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
"
2611,not_spam,"As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
"
2612,not_spam,"Dude how do you like the buff wind.
"
2613,not_spam,"Oh k...i'm watching here:)
"
2614,not_spam,"She left it very vague. She just said she would inform the person in accounting about the delayed rent and that i should discuss with the housing agency about my renting another place. But checking online now and all places around usc are  &lt;#&gt;  and up
"
2615,not_spam,"Sorry, I'll call later in meeting
"
2616,not_spam,"I thk ü gotta go home by urself. Cos i'll b going out shopping 4 my frens present. 
"
2617,not_spam,"Of course. I guess god's just got me on hold right now.
"
2618,not_spam,"Stupid.its not possible
"
2619,not_spam,"En chikku nange bakra msg kalstiya..then had tea/coffee?
"
2620,not_spam,"Then we gotta do it after that
"
2621,spam,"SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL
"
2622,spam,"Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX
"
2623,not_spam,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?
"
2624,spam,"You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3
"
2625,spam,"URGENT! Your mobile number *************** WON a £2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm
"
2626,not_spam,"Do u noe wat time e place dat sells 4d closes?
"
2627,spam,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180
"
2628,not_spam,"Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?
"
2629,not_spam,"Yes just finished watching days of our lives. I love it.
"
2630,spam,"URGENT! Your mobile No 077xxx WON a £2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362206 ASAP! BOX97N7QP, 150ppm
"
2631,spam,"ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.
"
2632,not_spam,"Who's there say hi to our drugdealer
"
2633,not_spam,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine ""KUDI""yarasu dhina vaazhthukkal. ..
"
2634,not_spam,"Spending new years with my brother and his family. Lets plan to meet next week. Are you ready to be spoiled? :)
"
2635,spam,"SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL
"
2636,not_spam,"Sorry im getting up now, feel really bad- totally rejected that kinda me thing.
"
2637,not_spam,"Even if he my friend he is a priest call him now
"
2638,not_spam,"Nothing much, chillin at home. Any super bowl plan?
"
2639,spam,"URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only
"
2640,spam,"You can stop further club tones by replying ""STOP MIX"" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL, PO Box 1146 MK45 2WT (2/3)
"
2641,not_spam,"Many times we lose our best ones bcoz we are 
"
2642,spam,"Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week
"
2643,spam,"PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0
"
2644,not_spam,"I know a few people I can hit up and fuck to the yes
"
2645,spam,"We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
"
2646,not_spam,"Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am
"
2647,spam,"Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.
"
2648,spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop
"
2649,spam,"Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
"
2650,spam,"FROM 88066 LOST £12 HELP
"
2651,not_spam,"Did you show him and wot did he say or could u not c him 4 dust?
"
2652,not_spam,"Every monday..nxt week vl be completing..
"
2653,not_spam,"I wud never mind if u dont miss me or if u dont need me.. But u wil really hurt me wen u need me &amp; u dont tell me......... Take care:-)
"
2654,not_spam,"Yes :)it completely in out of form:)clark also utter waste.
"
2655,not_spam,"Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*
"
2656,spam,"sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p 
"
2657,spam,"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx
"
2658,not_spam,"Dont worry. I guess he's busy.
"
2659,not_spam,"Its ok, if anybody asks abt me, u tel them..:-P
"
2660,not_spam,"You still coming tonight?
"
2661,not_spam,"K..k..i'm also fine:)when will you complete the course?
"
2662,not_spam,"What i told before i tell. Stupid hear after i wont tell anything to you. You dad called to my brother and spoken. Not with me.
"
2663,not_spam,"If you're not in my car in an hour and a half I'm going apeshit
"
2664,spam,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm
"
2665,spam,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text
"
2666,not_spam,"Oh ho. Is this the first time u use these type of words
"
2667,not_spam,"If you ask her or she say any please message.
"
2668,not_spam,"Okey dokey swashbuckling stuff what oh.
"
2669,not_spam,"Sounds great! Im going to sleep now. Have a good night!
"
2670,not_spam,"Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.
"
2671,not_spam,"I like you peoples very much:) but am very shy pa.
"
2672,spam,"URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only
"
2673,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!
"
2674,spam,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.
"
2675,spam,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!
"
2676,spam,"The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270
"
2677,not_spam,"Not yet chikku..going to room nw, i'm in bus..
"
2678,not_spam,"Where @
"
2679,spam,"http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡C C Ringtone¡
"
2680,spam,"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323.
"
2681,spam,"U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription
"
2682,spam,"Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546
"
2683,not_spam,"I told that am coming on wednesday.
"
2684,spam,"1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(£1.50p. m)
"
2685,not_spam,"Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you
"
2686,spam,"PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04
"
2687,spam,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply.
"
2688,spam,"You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99
"
2689,spam,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow
"
2690,not_spam,"Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
"
2691,not_spam,"Can. Dunno wat to get 4 her...
"
2692,not_spam,"All e best 4 ur driving tmr :-)
"
2693,spam,"Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
"
2694,not_spam,"Fun fact: although you would think armand would eventually build up a tolerance or some shit considering how much he smokes, he gets fucked up in like 2 hits
"
2695,spam,"This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only
"
2696,not_spam,"Howz that persons story
"
2697,spam,"Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
"
2698,not_spam,"Somebody should go to andros and steal ice
"
2699,spam,"Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
"
2700,spam,"Last chance 2 claim ur £150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. £3.00 Sub. 16 . Remove txt X or STOP
"
2701,not_spam,"If e timing can, then i go w u lor...
"
2702,spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k
"
2703,spam,"+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm
"
2704,spam,"Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
"
2705,spam,"UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+£1.50perWKsub
"
2706,not_spam,"Onum ela pa. Normal than.
"
2707,spam,"our mobile number has won £5000, to claim calls us back or ring the claims hot line on 09050005321.
"
2708,spam,"URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only
"
2709,not_spam,"S.s:)i thinl role is like sachin.just standing. Others have to hit.
"
2710,spam,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'
"
2711,spam,"WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
"
2712,spam,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV
"
2713,spam,"complimentary 4 STAR Ibiza Holiday or £10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+
"
2714,spam,"LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms
"
2715,spam,"As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP
"
2716,not_spam,"Lol great now im getting hungry.
"
2717,not_spam,"Yes princess! I want to make you happy...
"
2718,spam,"Please CALL 08712402972 immediately as there is an urgent message waiting for you
"
2719,spam,"This is the 2nd time we have tried to contact u. U have won the £400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate
"
2720,not_spam,"""SHIT BABE.. THASA BIT MESSED UP.YEH, SHE SHUDVETOLD U. DID URGRAN KNOW?NEWAY, ILLSPEAK 2 U2MORO WEN IM NOT ASLEEP...""
"
2721,spam,"Download as many ringtones as u like no restrictions, 1000s 2 choose. U can even send 2 yr buddys. Txt Sir to 80082 £3 
"
2722,not_spam,"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...
"
2723,spam,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com
"
2724,not_spam,"Yes ammae....life takes lot of turns you can only sit and try to hold the steering...
"
2725,spam,"More people are dogging in your area now. Call 09090204448 and join like minded guys. Why not arrange 1 yourself. There's 1 this evening. A£1.50 minAPN LS278BB
"
2726,not_spam,"S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:)
"
2727,not_spam,"Me too. Mark is taking forever to pick up my prescription and the pain is coming back.
"
2728,spam,"URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM
"
2729,not_spam,"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)
"
2730,not_spam,"What you did in  leave.
"
2731,not_spam,"O. Guess they both got screwd
"
2732,spam,"YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.
"
